"","AAPL","MSFT","CSCO","TMUS","UNH","JNJ","JPM","BAC","KO","DEO"
"2017-10-02",36.493931,70.107277,28.759804,61.52,183.454254,115.007324,83.286537,23.004404,38.170769,116.809631
"2017-10-03",36.652897,69.778389,28.845015,61.68,184.559967,115.778625,83.725174,23.219906,38.503052,117.371269
"2017-10-04",36.415646,70.182442,28.741879,61.5,186.2789,116.471001,82.873703,23.085217,38.767174,118.521255
"2017-10-05",36.868813,71.385193,28.8708,61.52,183.881653,116.733932,83.989655,23.462339,38.784222,118.360786
"2017-10-06",36.847469,71.413391,29.008327,62.41,184.030334,116.760216,83.842583,23.534172,38.758667,118.530174
"2017-10-09",36.975578,71.685875,29.01692,61.560001,182.394989,116.961769,83.401413,23.210924,38.690506,119.154205
"2017-10-10",36.989822,71.685875,28.836426,61.23,180.889755,117.356209,84.024269,23.282757,39.082424,120.527061
"2017-10-11",37.144051,71.808044,28.8708,61.18,181.42868,119.766434,83.773384,23.192965,39.278393,121.079811
"2017-10-12",37.013538,72.465782,28.587162,61.279999,179.254425,119.924187,83.038071,22.851763,39.286926,121.293739
"2017-10-13",37.248447,72.813469,28.76767,61.389999,178.882782,119.573586,82.925629,23.192965,39.346558,121.079811
"2017-10-16",37.934143,72.963821,28.827827,60.970001,179.514618,119.301926,84.638458,23.561106,39.721443,120.77668
"2017-10-17",38.074127,72.907417,28.879404,60.939999,189.447357,123.394928,84.448151,23.525192,39.636246,120.018921
"2017-10-18",37.90567,72.926208,28.836426,60.68,190.692429,123.298515,84.768219,23.776606,39.534008,120.865845
"2017-10-19",37.008801,73.208115,29.008327,61.509998,188.852753,124.490471,84.872009,23.866398,39.695889,121.20459
"2017-10-20",37.072868,74.053787,29.43808,60.459999,192.792358,124.80603,86.083115,24.396168,39.516968,120.625137
"2017-10-23",37.053886,74.072578,29.524025,61.470001,192.346329,125.875252,85.93605,24.387186,39.465843,121.20459
"2017-10-24",37.274548,74.100777,29.721718,62.279999,193.405609,124.139885,87.302872,24.854097,39.346558,120.16156
"2017-10-25",37.110836,73.884666,29.481054,61.93,192.857437,124.770912,87.389366,24.809204,39.235802,120.420097
"2017-10-26",37.348087,74.006813,29.455271,61.73,194.334763,124.288872,88.012238,24.907972,39.389172,120.598396
"2017-10-27",38.686287,78.752037,29.592787,62.950001,197.540421,124.262611,88.038185,24.961845,39.252838,121.703812
"2017-10-30",39.557041,78.827217,29.25758,59.580002,194.55777,122.702538,87.726761,24.782261,39.073917,121.739449
"2017-10-31",40.10751,78.160065,29.352127,59.77,195.328964,122.185394,87.034706,24.593708,39.176147,122.140648
"2017-11-01",39.597385,78.160065,29.756094,59.75,194.687851,122.684982,87.302872,24.719412,39.022781,119.840637
"2017-11-02",39.886841,78.97757,29.403702,58.299999,196.146622,122.641205,87.882462,25.024698,39.090958,120.339844
"2017-11-03",40.928452,79.062111,29.627176,58.91,197.791275,122.772636,87.726761,24.979805,39.167637,121.070869
"2017-11-06",41.343662,79.372215,29.575596,55.540001,197.094406,122.492165,87.181763,24.916952,38.741627,122.04258
"2017-11-07",41.476528,79.184288,29.567007,55.360001,197.633286,122.500946,85.425667,24.405142,39.142078,120.411186
"2017-11-08",41.815826,79.456787,29.65295,56.220001,195.839996,123.859459,84.465454,24.054958,39.346558,120.375526
"2017-11-09",41.730404,79.015129,29.266176,56,196.574036,123.009293,84.456795,23.785583,39.389172,120.669701
"2017-11-10",41.592285,78.808418,29.214611,56.799999,196.118805,122.31691,84.352982,23.803545,39.653294,121.249161
"2017-11-13",41.425613,78.864799,29.180225,56.439999,197.596115,122.492165,84.655746,23.704769,39.80666,121.195671
"2017-11-14",40.799362,78.97757,29.25758,56.540001,196.713425,122.255531,84.14537,23.561106,40.411594,121.61467
"2017-11-15",40.261211,78.363731,29.317751,56.689999,194.994476,121.913719,84.941238,24.054958,39.883343,120.429016
"2017-11-16",40.742214,78.571465,30.839081,59.799999,196.1745,121.712135,85.183456,24.028023,39.661804,121.266983
"2017-11-17",40.515995,77.815994,30.856266,60.02,195.031647,120.949615,84.897987,23.902311,38.946106,121.329407
"2017-11-20",40.475513,77.938751,31.371964,60.299999,195.356857,120.888275,85.650581,24.010061,38.733101,122.274353
"2017-11-21",41.227962,79.062553,31.500893,60.41,197.540421,121.247627,85.581375,24.001083,39.005749,122.951897
"2017-11-22",41.66135,78.486481,31.328999,61.349998,196.258179,120.327362,85.330513,23.938227,39.05687,122.684433
"2017-11-24",41.663719,78.628143,31.363369,61.68,197.456757,120.958382,85.053696,23.875378,39.090958,124.645691
"2017-11-27",41.454185,79.204208,31.689987,62.779999,197.354553,121.778481,84.716309,23.875378,39.10799,124.431717
"2017-11-28",41.211311,80.158005,32.429161,61.380001,200.829636,123.471581,87.683502,24.818178,39.048351,125.554985
"2017-11-29",40.356453,78.703682,32.214291,61.830002,207.092224,123.286392,89.733727,25.392841,38.767174,124.039474
"2017-11-30",40.920799,79.487511,32.059566,61.07,212.723282,122.863129,90.417114,25.401857,39.316948,123.442177
"2017-12-01",40.730312,79.57251,32.317432,60.900002,211.427399,123.436287,90.650703,25.338734,39.488743,124.110786
"2017-12-04",40.432652,76.569427,32.42057,60.240002,206.430237,122.58094,92.519249,26.204403,39.712101,124.71698
"2017-12-05",40.394562,77.051056,32.068169,60.959999,205.190308,123.162895,91.455215,26.087172,39.737862,124.832886
"2017-12-06",40.244549,78.17485,32.154118,62.119999,205.050476,124.388649,90.771812,25.82567,39.901073,127.097237
"2017-12-07",40.318359,77.90097,32.145519,61.919998,205.246246,123.462738,90.503639,25.951916,39.325531,126.018539
"2017-12-08",40.330254,79.478081,32.326023,62.540001,208.751724,123.974182,91.636887,26.195385,38.921806,126.428604
"2017-12-11",41.116055,80.488556,32.626846,63.07,207.688904,124.459167,91.368698,26.096195,38.938984,126.294907
"2017-12-12",40.88509,80.819077,32.58387,63.48,207.427856,125.746666,92.432739,26.438845,38.904625,125.349937
"2017-12-13",41.020809,80.601883,32.790154,63.830002,209.161942,126.00238,91.273544,26.00602,39.428623,126.0364
"2017-12-14",41.0089,79.978615,32.575283,62.560001,206.271729,124.90892,90.538239,25.90683,39.540295,126.446449
"2017-12-15",41.425613,82.018433,32.824528,62.66,206.803238,125.62323,91.818542,26.186367,39.677734,126.178993
"2017-12-18",42.009007,81.574593,33.073784,63.470001,207.595642,125.041199,92.527901,26.583126,39.454391,127.302269
"2017-12-19",41.561333,81.055161,32.919079,63.639999,207.00827,125.023575,92.138603,26.556078,39.62619,126.660408
"2017-12-20",41.516098,80.762421,33.297264,62.900002,207.325287,124.476837,91.818542,26.583126,39.583244,127.025902
"2017-12-21",41.673248,80.743515,33.116764,63.52,206.681976,124.388649,93.28051,26.889719,39.170906,127.364662
"2017-12-22",41.673248,80.752968,33.133953,63.619999,205.106415,123.559715,92.951775,26.943823,39.162331,127.730171
"2017-12-26",40.616001,80.649086,33.073784,63.790001,204.733505,123.533333,92.579803,26.853649,39.351318,127.828224
"2017-12-27",40.623146,80.941841,33.142551,64.110001,205.497971,123.956604,92.752808,26.808565,39.454391,128.256134
"2017-12-28",40.73745,80.951294,33.168331,64.349998,207.688904,123.947739,93.245903,26.871683,39.274002,129.049545
"2017-12-29",40.296913,80.781311,32.919079,63.509998,205.535294,123.206993,92.510612,26.619196,39.411446,130.181717
"2018-01-02",41.018421,81.168488,33.400398,64.040001,206.187866,122.774948,93.384331,26.961857,39.119381,129.37941
"2018-01-03",41.011284,81.546249,33.666851,63.610001,208.35083,123.947739,93.479454,26.871683,39.033478,129.762711
"2018-01-04",41.201771,82.263977,33.762108,63,209.255157,123.938919,94.818642,27.22336,39.583244,129.013901
"2018-01-05",41.670876,83.283875,34.229691,64.599998,213.245392,124.96183,94.209923,27.349609,39.574657,129.20108
"2018-01-08",41.516098,83.368881,34.584717,65.099998,209.544174,125.120583,94.349052,27.16024,39.514523,129.218918
"2018-01-09",41.511326,83.312225,34.368244,65.599998,210.588303,127.10466,94.827324,27.295502,39.712101,128.7108
"2018-01-10",41.501808,82.934471,34.558739,63.889999,209.022049,126.954727,95.870811,27.547985,39.574657,128.247223
"2018-01-11",41.737553,83.180016,34.723263,63.84,210.131531,127.677826,96.383865,27.647173,39.548882,128.363113
"2018-01-12",42.168537,84.615448,35.390022,63.68,213.161514,128.533157,97.975182,28.125095,39.643379,129.013901
"2018-01-16",41.954243,83.434982,35.104275,62.970001,217.133102,129.503189,97.627373,28.170181,39.969791,127.605347
"2018-01-17",42.64716,85.125412,35.675774,63.759998,222.288727,129.608978,98.253448,28.116077,40.218914,129.343735
"2018-01-18",42.685265,85.087608,35.762363,62.880001,226.698532,129.556107,98.488251,28.386593,40.270458,129.397202
"2018-01-19",42.494774,84.993187,35.753712,63.709999,226.875671,129.944092,98.270836,28.603016,40.510971,129.477463
"2018-01-22",42.147118,86.513611,36.074104,63.939999,227.071426,130.631866,99.418694,28.801394,40.699951,129.539871
"2018-01-23",42.156643,86.787491,36.455101,64.529999,228.609741,125.067642,99.314339,28.783358,40.76009,130.261917
"2018-01-24",41.485142,86.711952,36.515717,65,228.274109,125.279289,100.583923,28.936657,41.086514,128.97821
"2018-01-25",40.744587,87.19355,36.281914,64.389999,228.581741,127.333916,100.610001,28.936657,41.095104,129.20108
"2018-01-26",40.83984,88.827332,36.853424,65.279999,231.649017,128.154007,101.149139,29.035851,41.68782,129.281342
"2018-01-29",39.994518,88.695129,37.104534,64.599998,230.660828,126.698997,101.044792,29.107985,40.974842,126.455376
"2018-01-30",39.758774,87.580757,36.584984,64.760002,220.629242,125.596725,100.096947,28.747288,40.725727,127.061554
"2018-01-31",39.868309,89.724472,35.970184,65.099998,220.750458,121.857864,100.583923,28.855497,40.880356,128.33638
"2018-02-01",39.951656,89.016205,36.108734,63.790001,219.296066,123.471581,101.627411,29.306364,40.76009,127.837135
"2018-02-02",38.218143,86.674156,35.441975,63.59,216.182175,121.408119,99.375198,28.810413,40.141602,126.303787
"2018-02-05",37.263294,83.104446,33.580242,61.540001,205.125076,114.979713,94.609924,27.286482,38.56102,120.464691
"2018-02-06",38.820587,86.249191,34.783878,60.849998,209.93573,116.249512,97.48822,28.134111,38.37204,122.15847
"2018-02-07",37.989552,84.624878,34.931084,62.060001,210.53244,115.887962,98.149117,28.179197,38.277554,121.133286
"2018-02-08",36.94421,80.280785,33.571594,58.880001,201.806061,111.425995,93.809929,26.817581,37.023384,120.108078
"2018-02-09",37.39608,83.274437,34.229691,59.200001,206.001434,114.221344,95.688202,27.349609,37.04916,120.544914
"2018-02-12",38.902359,84.171593,35.156219,58.119999,210.411179,114.873886,97.166481,28.061974,37.770729,121.810783
"2018-02-13",39.292061,84.832657,35.701752,57.689999,211.296906,114.600517,97.766479,28.116077,37.959717,122.194138
"2018-02-14",40.016514,86.160965,36.446442,58.619999,213.292007,114.34481,100.027382,28.855497,37.882389,123.504593
"2018-02-15",41.360203,87.916267,38.169617,60.439999,210.718887,115.720421,100.444778,29.044865,38.46653,125.12709
